,review
349,"It took several calls to find a solution but todays call with a tech named Emerson in El Salvador ws spectacular...she was super courteous, extremely talented and focused right in on the problem and fixed it in about 15 minutes...prior calls were up to 5 hours with no solution found..glad i perservered and met Emerson she was the best thank you HP"
350,"Very disappointed with HP instant ink and the service - Significantly overcharged with no notifications to advise or encourage me to change my plan. Due to the poor service and lack of being able to contact anyone (apart from a digital assistant), I am now told I can't use my printer with the ink that I have already paid for. I think this service is a rip off. I have given you my business and because I don't subscribe to your monthly plans, I can't use the ink I've purchased from you. I am looking to leave HP on this poor experience."
351,"purchased a brand new hi spec gaming laptop which is showing battery as faulty, customer service talked me through some tests which show batteries to be faulty they then ask me to charge to capacity and then completely discharge batteries over three days tom calibrate and it still doesn't work, they then suggest I send the laptop to one of their service centres who will test it over two weeks. errr no instead lets return your peice of junk and you can do a refund"
352,This company should be out of business  selling a printer that  gives nothing but trouble.Even with updates it is a complete piece of junk.Never again !
353,Bought a computer monitor from HP store on Black Friday. Received the unit and it appeared to work but I discovered that the buttons controlling the brightness and on screen display didn’t work. I called tech support and spent 2 hours convincing them the unit was defective. They said I could send the unit in for warranty repair and after they received the unit they would send a refurbished unit. I told them that didn’t seem fair. They said since it was less than 30 days old I could return it for and exchange. I sent the unit back and now got charged 60% more because the exchange unit is no longer considered  Black Friday deal. Plus I will not receive the replacement until next year.
354,This company is falling apart. I have a printer that stops printing every couple of days. Their systems suck!!!!!!  Buy any other printer in the universe!
355,NEVER BUY AN HP PRINTER AS IT IS WITH INK SUBSCRIPTION. IT'S LIKE PAY AS YOU GO. EVEN IF YOU STILL HAVE INK AND A SPARE ONE IF YOU STOP YOUR SUBSCRIPTION THE PRINTER WILL NOT WORK!!!. WORST PRINTER I EVER BOUGHT. SO SLOW AND ALWAYS NEED TO TURN ON AND OFF TO WORK. WHAT A CRAP PRODUCT!
356,"terrible - there is zero customer service. my brilliant printer prints big documents backwards, so you have to reorder the pages yourself. all you can ask is the virtual assistant which is utterly useless. my brother printer never did this."
357,Excellent customer service. HP Laptop and Printer. Quality products with lots of offers such as instant ink subscriptions. I’ve got a 18 month instant ink subscription. No more having to purchase ink for the next 18 months both colour and black cartridges typically cost over £100. They know when you’re about to run out and ship new HP cartridges and you just send the old ones back for recycling.
358,WISH I HAD NEVER BROUGHT THIS HP SMART PRINTER. The printer only works from the app and 3 hours later I am still not able to reconnect it to my laptop. It's like ground hog day sending me to my phone app around and around getting nowhere. Save you self the bother buy another make of printer.
359,GREAT EXPERIENCE! HP actually pulled through with their warranty and despite a little delay they actually honoured they and did not blame the customer. They replaced my OMEN which was still under warranty and for the most part everything went smoothly. I come from dealing with ASUS warranty in the past which was a nightmare and a bunch of crooks who blame the customer and you're helpless. in contrast my first dealings with HP warranty went really well
360,Long time fan but something has changed. I just bought a new spectre and long story short they cannot send me a valid invoice for the purchase (a business purchase) after two weeks of contacting them on all possible support channels. If anything goes wrong with the new machine I guess I would be totally SOL at this point. Gave them a chance now to see but will not buy an HP again.
361,I have been a fan of HP in the past but no more.I bought an HP Envy laptop and Printer in the last year and wish I hadn't bothered. I feel the product quality is now very inferior and the printer is a joke I have hardly used it and it keeps asking for a subscription for print cartridges that don't last very long??? I am sure these printers are being managed remotely to increase revenue for HP.Now I have got to look for another printer maybe a 2nd hand on that is not linked online and never prints when you want it to. If you are looking for more tech give HP a wide berth
362,"HP’s Cyber Monday is just a big BAIT AND SWITCH operation. I tried on at least 5 occasions to configure a desktop machine and each time I could not complete a sale from their website. Finally at 11:00 pm EST 11/28/2022 I called customer service and configured it with Leonard. Ultimately we got the machine configured and mysteriously the price went up over $100 over what it configured from the on site store. Leonard advised me around 11:30 that the Cyber Monday pricing was no longer in effect despite it still being Monday. When I received the order confirmation it was dated 11/29/2022 despite the fact that it was still 11/28 (my birthday, thanks)"
363,"Hp Instant Ink is a scam. Cartriges already dried up, but no new ones were shipped. Printer stopped working at all after, but I still have to pay two subscriptions."
364,"I should preface that I have always been happy with the HP products that I have purchased. However, I recently went online to order laser jet toner based on the constant pop ups from HP about low toner ink.  I accidentally ordered CF17 instead of 17A and when I went to return it was the most ridiculous experience and I can assure I will NEVER order anything on line from HP again. Their Customer Service is a misnomer. They read from a script ask the same questions repeatedly and when you ask for a supervisor they put you on hold to speak to someone in a non existant back room. They are not working from an office, they work from home and if you need to speak to a senior person ........ good luck.  It is beyond frustrating and all they do is offer you the same inane useless suggestions with no help at all.  I will buy from a brick and mortar store and if I make a mistake they will gladly do an exchange. If and when you finally get in touch with someone that offers a refund or exchange don't count on actually getting it without endless hours of aggrevation. Welcome to HP customer service, how can we royally    annoy you."
365,"I am printer user and printing is my regular schedule. But this company makes me pull my hair! They keep sending me broken/faulty printer which always have some hardware issue! I have like already 5th and it has problem with motherboard, it shows error code on blue screen, nothing works I am so mad about this. Please for god sake do not purchase anything from this cr-ppy company because you will regret it just like i do!!! They are very very bad and poor quality company!!"
366,"ABSOLUTELY DISGUSTING. KEEP TELLING ME THEY REFUNDED ME BUT ITS BEEN OVER 45 DAYS AND I AM TIRED OF SENDING THEM EMAILS AND PHONE CALLS, TO SPEAK TO THEIR UNPROFESSIONAL STAFF WHO HAS NO CLUE WHAT THEY ARE DOING NOR INTERESTED IN LOOKING DEEPER INTO THE ISSUE. TELLING ME ON PHONE THERE IS PROBLEM WITH MY BANK. WHY ON EARTH A BANK WOULD REFUSE A REFUND. WILL BE CONTACTING CONSUMER COURT SHORTLY."
367,"Having bought a new printer I called their help line for assistance only to be met with the most disgusting customer service ever. It merely amounted to an attempt to extort money for a firewall which was not required, My son set the printer up for me in less than 10minutes.I will never buy another product from this company in my life.All th I s because they employ useless, unhelpful staff with an atfitude."
368,"Very Bad CS. Difficult to reach. Asked to hold the line and wait but disconnected - this happened several times. I have a global warranty laptop brought out of UK. The battery is dead and needs replacement. They refuse to handle said because it was not purchased in UK, and they do not have spare parts. Then what's the meaning of a global warranty, and why cannot book spare parts? I had a similar situation with ASUS, and they immediately collected the laptop and booked parts from US to fix it."
369,"I have never in 30 years of working on laptops and being involved in I.T. come across a worse manufacturer than HP.It took me well over 12 hours to rid MY laptop of their bloatware and spyware, they had even installed a keylogger so they could see my every key press and track pad movement. The amount of data they get sent back to their HQ is unreal. I also had several hours of uninstalling W11 crap but that's another story.Getting rid of the trial versions of programs was even worse and not even the McAfee removal tool was able to remove the trial version of this insidious program. I had to resort to removing it manually using regedit, not something that I would recommend for beginners.My opinion as a professional in this field is to avoid their company at all costs."
370,"I got a new laptop from HP which has all the features I wanted. However, within 4-5 months there was a touch pad issue. I contacted HP regarding the same and they kept telling me to perform factory rest and download updates to solve the issue for 6 months till my warranty with HP was expired. I did not understand what was the actual issue and nor it was solved. I expected more from HP. Bad experience."
371,"If I could I wouldn’t even give a start. Really bad customer service. To the point you order something that’s wrong the order gets canceled and you never get a refund. They are thieves, company designed to steal money. Drain on society. Should be shut down for fraud."
372,Wish I had never purchase that heap of junk. Perhaps used the printer two to three times over the course of a few weeks before throwing it away before throwing it through a wall.
373,I should have known not to buy an HP printer after buying an HP laptop years ago that I’ve literally only used about 5 times because it’s a total piece of junk.   Bought printer 3772 & good luck getting it to work.  Already out of ink after printing 7 pages of straight text.   Tried to enroll in the ink club & can’t because the app doesn’t talk to the printer.  No surprise there.   Tried to get customer service help & you have to pay them to answer a question on how to enroll & spend money on a piece of junk that you already spent money on.   What a bunch of crooks with worthless products!
374,"Ordered ink via the hp store, it didn't arrive, tracker advised address details missing (turned out to be the house number). Took me 3 days to get through to anyone, they said they would update the address. Another week, nothing, I call again and they claim it has been delivered but that they will send a replacement. A week later, not arrived. I call the customer service team who confirm that the same thing has happened, they haven't given the full address to the delivery company. Asked for refund which hopefully is being processed. This is the most chaotic and incompetent company I've ever dealt with."
375,No phone support if your printer is out of warranty
376,"Since HP have introduced anti-competitive restrictions on printer ink cartridges, they now expect me to spend more on ink than a new printer would cost. Their website also makes it impossible to contact anyone to even discuss the issue."
377,I bought an HP desktop less than 4 months ago and it will not reboot or start after an HP update. All hardware checks out but software will not work or start. Customer service has stated at first the computer was out of warranty. Then I proved I just purchased the computer they stated the warranty doesn't cover software. They were very rude and condescending. She offered to help to help for a $149.00 fee.
378,"I bought a brand new HP Pavilion Laptop, this was approximately 15 years ago.   It was one of the first laptops that they put an i7 chip in.    I have had this laptop ever since sitting in the spare room and it hasn’t worked for 13 of the 15 years.   I saw it today again and it just makes my blood boil.When they first used the i7 chip they didn’t account for the heat it would produce so it spent a lot of time in the repair shop even during the time I was using it.   It would constantly overheat.I have written and written and written to HP and they refuse to do anything about it.   Even before the warranty ran out, they would tell me to send it to the repair shop each time but as soon as the warranty ran out they didn’t want to know.   The laptop cost $1700 + so it was the top of the range for that type of laptop even then but it has sat for all these years as a useless piece of equipment.I would not use HP again for anything if it were the last company on the planet.    Beware, their customer service is atrocious."
379,I bought a laptop for my daughter for university  it went wrong just over tge 30 day .sent back 27th September  have had nothing but bs excuses from them as to why It hasn't been  returned  they told me to wait yet another week  whilst they come up with another excuse refusing to refund refusing to give me a new computor I will never buy from HP store  again  very shady09.12.22Still waiting for a new computer  promised call backs never happen can't be put through to a manager this company is a joke
380,"These people are actively targeting disabled veterans and first responders, then send out broken equipment, then make you fight for weeks to get a return or fair treatment, they call you on the phone and verbally harass you during this process"
381,"Ordered Omen 16 with Care Pack in OctoberStarted noticing faults after 3 days, and requested replacement.Still have to follow up HP myself almost a month on, has not gone anywhere.Ive called, sent Emails, Whatsapp. They've asked for the same documents over and over then have to send the same document again the following week.Will not buy from HP again."
382,"Printer set up for Deskjet 4130e failed. The printer came with a lot of paper booklets but only covered unpacking. The chatbot on the HP website does not accept printer set up as a topic for help.Technical support once I found a phone number [not with the printer] was aware of many problems setting up the printer using 123.hp.com. In my case the set up procedure froze after insert paper.The technical support person was excellent, it took over 30 minutes to complete the printer set up procedure.HP.com and 123.hp.com are not worth one star.The support person was worth 5 stars"
383,"I bought a new laptop in September but it reboots while I am using it and I get boot disk errors.  Contacted HP via WhatsApp and after several hours someone responded. Over the course of a few days the agent got me to run some checks and then told me it's ok.  Well, clearly it isn't!!  Who wants a laptop with errors, especially after paying for a 3 year CarePac.  Tried contacting customer service again via WhatsApp and the agent just stopped responding before we even got anywhere.  There is no phone number to call and the so-called callback system doesn't work either.  I would like my money back but there is no way of contacting HP.  It's an absolute shambles and a disgrace."
384,Your incompetent and dishonest member of my staff lacked the ability to get my HP printer working with my Windows 11 computer.This operative knowingly damaged my default printer an Epson 860. She destroyed the printer files deliberately and was TOLD to leave it alone. She is an untrustworthy individual who cost me £60.00 to get my Epson printer working after 2 hours reloading everything back on again.Case Number 5094855153: Your Case has been Created CRM:0078988000571Train your staff to listen and NEVER disrupt customers other printers deliberately.
385,"Unable to Find Customer SupportI recently broke my printer, and I wanted to find support regarding how to fix the issue. Unfortunately, no calls or email support is available. Because of my expired warranty plan, I can only use the ""community support"" option, which does nothing. There is no option for one-time support. I can't even call or email. The customer support system makes me hesitate to get their product or subscription again :("
386,The worst PCs ever. I would give it a 0 star if I could. My Excel is regularly defunct and it's just a terrible brand in general - this company should be audited for overcharge.
387,"HP is disgusting to deal with !!I want to return the workstation I bought immediately.My Device:HP Z4 G4 Workstation IDS Base Model:order number is:  H351300117Product: 1JP11AVSerial: MXL2441BL3The reason: I did not get what I bought.Customer service is horrible!! Rude!! Talked to more than ten people without resolution !! I purchased four year onsite warranty. The shipping label shows as 3/3/3. Your HP people always provide me with a nonexistent email address.Example: Sorry, we were unable to deliver your message to the following address.550: 5.1.1 User Unknown.I never expected this much horrible service from HP.I may have to order from Lenovo. They provide excellent service.Please send Return Merchandise Authorization, along with pre-paid shipping label to:N. Srinivasan, 4307 Gilbert St., Oakland, CA 94611.It has been disgusting doing business with HP !!Best Regards,N. Srinivasan"
388,So complicated and ink runs out after 20 pages.  Avoid this company
389,05/09/22 I CONTACTED HP TO BUY A PC - I NEEDED ONE WITH WINDOWS 10 HOME SO BEFORE BUYING ASKED IF WINDOWS 10 PRO IT CAME WITH WAS INTERCHANGEABLE - THEY SAID YES - IT IS NOT - THEY SAID MICROSOFT COULD EASILY DOWNGRADE IT - THEY COULD NOT - I PAID £350 IN IT CONSULTANT FEES TO VERIFY THAT HP HAD MISSOLD - CLAIMED REFUND FOR PC PLUS THE £350 - REFUND EVENTUALLY ON 11/11/22 PLUS REFUSAL TO PAY FOR THE £350 COSTS INCURRED - LOAD OF LYING CONNING SHYSTERS - NEVER EVER AGAIN
390,"Horrible company HP and customer service unresponsive. Laptop not working. Don't buy a laptop from HP during Black Friday, they mess with the prices. People think they get a lot of discount. Pavallion was 799 GBP a week ago. Right now they are advertising that the laptop was 970 GBP in the past. Misleading prices."
391,"I bought a microphone from them online.Mo serial number on the box.No invoice sent.It is a hypex quadcast 100 pounds .I have been through an endless stream in the last week of phone calls to customer service phone calls to technical support none of them can do anything to help me the microphone doesn’t work and I’m stuck with it it’s £100 down the drain my next way forward is to contact my credit card and explain that it’s been some sort of a dupe.They do not reply to emails.DON,T BUY ANTHING FROM THEM. ANYTHING !!!"
392,"It is easier to fly a rocket to the moon than use HP printers. Suggest the programme writers are instructed to write programmes that end users can use rather than for their own vanity. I've used them for years, today I'm off to buy another brand and current printer is only 12 months old but trouble every day I've tried to use it."
393,"I bought the HP Deskjet 2752e and signed up for the instant ink. The thing that is driving me nuts is this printer! It is not easy to use, is very slow and I can't change the settings or preferences, nor can I get help from support. I highly advise anyone to steer clear of this printer. It's been a nightmare."
394,Shocking customer services I have 3 x hp laptops so a good Hp customer (had problems with deliveries in the past)  This time order was delayed by 5 days and on chasing was told no longer in stock and now offering a refund. I am online chatting to Sahin from Customer services explained to him I have just put 2 of the exact same laptops in my basket so must be in stock !! I explained didnt want a refund as I have put against last quater Vat returns and asked why the one I want is still showing online (now have x 2 in basket) I asked can you please offer me an alternative laptop or can I speak to a manager he actually put the phone down!!
395,"Absolute rubbish service support their web service in some cases the pages don't work, there is no way of actually contacting them by email or phone. I have a Laptop and the screen started flickering I sent it back under warranty but months later the problem reoccurred never again would I buy from this company"
396,"Scanning a document used to take seconds... not with HP. The cretins at HP want your address, email, password, marketing preferences, subscriptions etc just to use a device you paid for and is physically next to you!"
397,I purchased a brand new all in one desktop a few weeks ago. After a couple of days it had blown. Won't power on. I contacted HP immediately and they agreed to provide a replacement following return of the item. I have been waiting two weeks now for the returns label to be provided. Every time I call I get the same nonsense. Every email I send is completely ignored. Customer service is absolutely appalling. I will never purchase any HP products again after this experience.
398,Bought a hp omen 27i moniotr a week ago. The rgb lighting on the monitor is the main issue. Everytime my laptop goes into sleep mode restarts or gets shut down. Upon start up monitor goes into default settings again the bottom desk light is bright as hell so no matter what I have to go into the settings and reset them to where I want it to be. Very annoying customer support just hung up on me after a 10 minute call..completely useless thanks for waisting 40 minutes of my time. 30 minute wait 10 minute phone call.
399,I purchased hp envy 17 inch laptop i7 processor on 29 Oct 2021 from hp uk store.Laptop has been working fine till 30 Oct 2022. Laptop screen suddenly went off after lunch on 30th and customer support confirmed that mother board is gone.Note: I don’t  recommend to buy Hp envy laptop. Please spend your 1000£ pounds on a different product.
400,"Hands up, I was conned. I just never thought it would be by such a major company. 1. I bought the house envy 6030e recently and signed up to the instant ink package. 2. Being an idiot I expected this to mean that the printer simply communicated with Hp to tell them when you needed new ink. Wrong. Did you know they charge you per page? 3. I’m not sure how a company like this can justify charging per page, they are not a local printers.  Are they paying fir the paper? No. Are they paying for the electricity? No. So on top of my monthly subscription (of 2.99 per month) they charge me an additional £98!!! 4. To clarify if I had gone to an actual printers the pages I printed would have costed around the £10 mark. On top of this my printer now won’t print which is a technology issue.This is not ethical and I’m sure I’m not the only one to complain. Customer services were useless. Even though I said I would cover the cost of whichever subscription would cover my page count if they refunded me the difference. I was told a manager would call back. Of course they didn’t.This company is fast loosing its reputation as a safe bet for printers. Very sad and very greedy"
401,"HP laptop doesn’t even deserve 1star. So pathetic. I have bought Hp laptop last year and have only used it for 5-6 times in a year and is damaged. Don’t know the reason and when i called customer care, they are saying that it’s out of warranty now. How disgusting! If i had known about this HP worst quality, i would have never bought it in the first place. I would suggest everyone that if you don’t want to waste fortune , please don’t buy HP. They are just fooling people by selling their cheap quality"
402,"I wasted 1 hour trying to connect this printer to WiFi and HP Smart, and I still haven't figured it out.. and I'm an IT director. Using a printer should be simple, but this is so infuriated me that I'm COMPELLED to leave this review. From complicated instructions to complicated apps that are trying to talk to each other and forcing you to do 99 steps just to print a page, it's RIDICULOUS."
403,Both computors suck! one of them made buzzing noises every 5 mintues and this new one I have isn't better. The wifi cuts out all of the time and then you have to restart and end up losing all of your crap! HP computors aren't great!
404,"Warranty is not being honored. They told me the replacement was already being processed. I received an email indicating that I had to show Proof of Purchase and Serial Number photos. I wrote to them indicating that I didn’t have proof of purchase and called customer service to let them know about this - they mentioned not to worry. That they understand that receipts can get lost. The order validation team contacted me and they said “serial #  is not reported to be sold to anyone and from our records is still owned by a distributor.” It seems to me that they are accusing me of stealing a monitor! It’s incredible that they said this to me so I contacted customer service and they gave me the phone number of order validation and spoke to Heyesn. Super rude and mean individual. He did not help me at all and didn’t care that HP customer service told me that. He said “ well they lied to you”. He was not helpful and when I said I wanted this to be escalated to a higher up, he said he is the highest person in the department and cannot escalate. It’s so fake! HP doesn’t want to honor a warranty that is currently active. It also does not make any sense that the warranty is currently RUNNING but not sold to anyone? It makes zero sense."
405,"The two times I attempted to use them for help installing printer software, they wanted control of my computer, then told me something was amiss with the drivers and I needed to pay them for a contract. I refused. Called Geek Squad and had no problem."
406,"Don’t Ever Buy a printer from HP , the ink is too expensive and the printers always have issues with connecting and printing"
407,"So signed up for hp instant ink last year, now for some reason I have to sign in to instant ink to even scan a document, why? Its my printer HP do one, I;m cancelling instant ink and never again buying any HP product."
408,"Last week I ordered and received a replacement toner cartridge from HP UK and fitted it only to find the prints turned out purple.  I tried to contact HP online only to find an incomprehensible long winded method of having my ONE cartridge picked up for return.  I was able to find a UK telephone number and a robot transfered me to a human in the USA who was apologetic and told me to hold the line while she transfer me back to the UK at whch point I ended the call.  I have written a complaint to several areas of HP which I imagine they will ignore as they have so many complaints but I also wrote to the CEO of HP.com whom I think everyone who has a complaint should write to as he is the one that has installed a robot that does not understand the human language.  Why should I give HP £35 for a useless piece of equipment so that they can bolster their bonuses while I have to fork out a further £35 to get what I originally ordered.  That, in my language is called stealing.  I am never going to buy from them again and I am only sorry I had not viewed these reviews before using them.  90% give one star grade.  I do not think I have ever see such a low rating for a company.  Why are they still in business!"
409,DO NOT BUY-THIS IS A SCAM- THEY OFFER FREE INK THEN WHEN YOU WANT OT USE THE PRINTER IT'D OBSOLETE WITHOUT BUYING THEIR INK -  SO REALLY YOU ARE NOT BUYING A PRINTER THAT BELONGS YOU - YOU ARE SUBSCRIBED TO INK CARTRIDGES - THEN THE PRINTER DOES NOT WORK BECAUSE THEY HAVE CONTROL OVER IT............ IT NEVER BELONGS TO YOU..... DO NOT BUY.....DO NOT BUY.....DO NOT BUY.....DO NOT BUY.....DO NOT BUY.....
410,"Please DON'T bother with this company, who seems to rely on brand name and reputation of yesteryear.No support except for pointless virtual chat option.I contacted them 2 weeks ago and still nothing.AVOID AVOID AVOID"
411,"The HP printers are definitely not what they once have been. The new HP smart app is ridiculous and irritating, the printer never shows as online, the smart app won't let you print if you don't give your credit card data for the auto ink buying option. So basically they obligate you the PAY for printing whilst the printer is already paid.Im kicking it out again, NEVER hp again for me, and i'll NEVER advise this to ANYONE. stay far away from HP printers."
412,"I had an issue with a business laptop purchased from HP Australia, case no 5089695524.I wanted to compliment HP on the incredible customer service I received in relation to this case.There were two people that I dealt with resolving this issue, Naveen and Jon, both of them were incredibly patient, helpful and knowledgeable throughout the process.It was customer service on another level, and something that all businesses should look to emulate, surpassing all expectations.A massive thank you to both Jon and Naveen for helping get to a resolution and the amazing service along the way, I really appreciate it!It's service like this that converted me into a lifelong customer, for business and private use, awesome work."
413,How bad can it get? BAD - avoid at all costs - buy from apple is my only advice after the care centre told me that a top-end laptop ( £1800 ) bought in June 2019 is old and can’t be fixed because it’s not a factory fresh model - advised that a life expectancy of a hp laptop was 3 years! I am now working off of 2012. MacBook which is operating better than the Spector.Do you think that’s bad enough? After speaking with a care associate in July 2021 about the issue I was advised it was out of warranty - later I found this to be a fraudulent lie and it would have been covered until June of this year - as a freelancer I can’t afford to be without a laptop so waited till my annual leave to send it in for repair.The story goes on - after paying £300 for the impossible repair on such an “ old laptop “ ( June 2019 remember) NOTHING HAPPENED for days and days it took 3 hours on the phone to actually find out why the laptop hadn’t been collected on the date it was meant to be.The second day of staying at home to get it collected …. No collection - now I know what you think that’s madness and no company can expect people to stay in for weeks at a time to have a faulty laptop collected. WRONG not hp’s problem not Interested. Ok now for the fun bit where I was called a liar! I was told 1 -I didn’t buy the laptop from them so it was not their problem- an easy fix as I supplied the original invoice! 2 -  I had never spoken to anyone in July 2021 - lucky I had all the chats stored on my phone.You would think that is enough to clear anything up? ABSOLUTELY NOT. The service guy was so freaking rude and aggressive saying it’s for their problem and I can take the laptop to a third-party repair centre but they don’t make the broken part anymore so it can’t be fixed. NOT HPs PROBLEM after all it’s 3 years old … this goes against the right-to-repair laws in the UK they don’t care.
414,"MFP234SDWE Printer is showing error 49 code. I've spent 2 hours on the phone with a 'technician?' who can't offer any resolution. I was told to unplug the printer and wait for 24 hours and they would call back, but they didn't. I had to call them, and gave the operative my case number but there weren't any notes on the case files so we had to go through the whole charade again. I contacted ebuyer who I bought the printer from but they weren't interested so I've had to raise a complaint with Paypal to try to get a refund."
415,Hp envy laptop had it 11 weeks black screen motherboard gone!! So it needs to get sent off to be repaired which will be at least 7 days so as a self employed bookkeeper that's at least a week off! Cost 1500 not even worth a third of that should have gone for a mac
416,"Have a printer brought from Online few months back after two months it’s suddenly stopped I’m raise a request for service (CASE ID :BTLV465601 on 14th September 2022) they assure me the technician will come within 48hrs but technician came after one week and he bring my printer to there service Center for service still now(27th October 2022)they are not repaired my printer every time I’m contacting them they’re saying parts is ordered and not received.very pathetic service from HP,I’m waiting for two months for get my printer back still waiting.So I’m not recommend this brand for other better go for other brands like canon,Epson etc."
417,"What shocking service. Purchased a HP desktop 2022 version, had the machine less than 5 months. Machine wont switch on. Call technicians.! Hr and half wait each time at 4 days to be told, the machine needs to be backed up and collected to go back to be repaired!!!!!!!Erm HELLO how can i back up if it wont turn on?   Response was not our problem. An what happens Mr Technical support if your courier loses the package are you accepting my documents on that computer will be public property?Response was not our problem! Terrible service will never buy again"
418,"Have a printer that isn’t working due ink cartridges being ink smart. I am signed up for ink smart so paying a subscription and expect to have customer service. I have also had a error code that has been resolved with a reset, but ink smart still not working. Gone through a virtual trouble shoot.. not working. Gone through an agent assist via WhatsApp did one trouble shoot action (same as one from the virtual assist) and it still doesn’t work. Agent told me they can no longer help me as my warrantee has expired. So you still want to take my money for a flaw with you product but you don’t want to help me fix it."
419,"This review is in regards to a laptop I bought a year back now. Although the laptop I bought was brand new, it was sluggish at times and kept crashing randomly even with very few applications open. To solve and/or complain about this issue I tried contacting HP. They had an extremely poor customer service. There was no deducated customer service helpline. On their website they offered an online chat section on their website which wasn't helpful at all as I was just texting my issues to a scripted bot and not an actual person. Because I could not solve my issue using their chat section I posted my issue on a HP forum (as directed by their website). I received no response and instead weeks/months later found that my post had been deleted. Overal HP have shown disgusting customer service and provided me with an extremely poor value for money laptop that is slower than my current 2nd hand laptop!!! If you expect a reponsive, reliable customer service and a laptop/ device that should function as it should that's worth it's value, you'd be better of looking elsewhere..."
420,Bought printer from them it said I'll get it Thursday post said then it came up Friday couldn't deliver out delivery Friday  430 whent of line had look today can't find the address they post office post code is for 1 street how can they say that
421,"Their printing service is abysmal do not subscribe.The cartridges only work when your printer is connected to the internet. This requires you to keep your printer on at all times, which just isn't viable for everyone. If you don't, you'll have a real issue trying to print when you first plug it back in. At first I thought it was a poor quality printer but it's literally just the subscription service preventing you from printing.Once I ran out of ink, they never sent me a replacement, so after an infuriating chat with customer service I had to go out and buy a normal one from my local currys.Now I'm cancelling my plan directly after they charged me for the last billing cycle, they have the gall to charge me for another billing cycle."
422,"Bought hp all in one envy computer. had a fault from day 1. Had some calls with tech support and no joy. Sent it off to Flextronic their subbie, no joy, they just sent it back without attempting to fix it. Raised formal complaint -ignored. Advised we would commence small claims court procedure and a refund or buy back in hp speak was applied within a week. they then picked it up and after a few weeks got a full refund. Hp is kind of fragmented we were unable to make contact with a decision maker. It’s a pity really as I think it was just a faulty part easily fixed. It was a black hole for time"
423,"I've had the Pavilion 6 for almost 15 years, and it only stopped working now!!... and it's only the screen that's gone. The computer itself still works!"
424,Very poor service and product quality is really very poor.i had purchase 419 ink tank printer.i did not get work properly.i have raised complain for several times but they did not provide mer service even after two months.I wast my harden money.Never suggest to purchase hp products to anyone.In my previous printer I have face the same problem.Today is my last day of warrenty period I even not finished first ink tank refill ink.I have purchased 2 years of warrenty on the date of purchase.They said I have to show the bill from purchase store.How can I get bill after a year.Dont buy hp products otherwise you have to face harrasment like me.Please don't harees customer.If you can not provide services then stop.The money I have spent was not black money.Worst service hp.Never ever purchase it go for Ebson and canon.
425,"I recently encountered an issue with my stylus for my laptop. I spoke to a very kind person named Zoya (through their WhatsApp helpline). She very quickly ran me through some procedures to try and get it to work. However, no luck. She said they were going to send me a new one and it would take about 2-3 business days for it to be shipped. Here I am only 1.5 days later with my new stylus, oh, and did I mention they sent two! Not one, but two! I now have a spare!! Over all they sent me ~$150 AUD of styluses for free! I am so impressed, I didn't expect much. If you ever get someone named Zoya... You're in for some luck!"
426,"Terrible customer service for getting a refund for laptop with faulty screen.  have to deal with international call centre and can't call them directly, have to message/wait for them to call you.  Thumbs down HP."
427,"If I could rate this garbage printer AND the customer service lower than one star I would.  They don't know how to help so they require the customer to accommodate HP and the hardware.  I don't care how new the technology is I will not rearrange how the firm works to accommodate this piece of junk.  They set it up after it crapped out a week after I had it.  Then I used it for six weeks and it crapped out again.  A representative told me it was set up improperly and would continue to stop working until the firm accommodated the specialization of the tech who took the call.  Raised his voice, condescended and and was snarky to boot.  Unacceptable and ridiculous."
428,"Purchase ink cartridge but I want Extra Large, after so many emails they reply, will send postage label,Almost now one month they never send me, time is almost due for refund, did so many emails, also so many phone calls never pick the phone waiting almost 25 minutes noreply.So I decided I will send with my expense, even there is no address again I call them never replied don’t know where to send.Never buy single stuff from HP uk.Even head office never have right phones.The only thing is they will take your order quick after after that forget noCustomer services , they will pass the phone to press 1234 no reply!I would give O Stars."
429,"Pathetic customer care, it seems that they don’t care. Bought a HP victus PC worth 1.35 lakh from HP with extended warranty, product broke down in 1 month. Called customer care 28 times in 5 days & after multiple diagnostics on phone was finally assigned an engineer who told to run another diagnostic. Then was told part ordered & will be delivered in 4/5 days. No response as yet with machine still disrepaired after 6 days. Avoid buying HP"
430,"HP products are fine when they work. However in the event of a problem their tech support is less than useless. Their interventions (3 times) have only made the problem worse. An originally intermittent problem is now a ""bricked"" un bootable computer. Calls to support usually result in getting hung up on a few times before you can actually talk to someone for more than a few seconds."
431,No support for a product that was bought 4 years ago. Only paid and extended warranties. They push for buying new models (not ecological at all even if it is economically feasible)
432,"Worst company I've ever had to deal with.10 customer service calls are being transferred around, and still haven't fixed the stupid insta ink issue that has my printer suspended... yes again my printer is ""suspended"" because of their program issue. What a joke. You spend hundreds of dollars on a printer that then can be turned off remotely and not allowed to print because of HPs rules. Where's the lawsuit for this? Sign me up"
